# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 -0.777023 -0.00308083 0.629077 -0.0220879 0.959632 0.0756756 3.9024 0 00000000.png

1 -0.77644 -0.0019707 0.629766 -0.0230586 0.981247 0.089289 3.8885 1 00000000.png

2 -0.775856 -0.000860556 0.630452 -0.0240293 1.00292 0.102824 3.87464 2 00000000.png

3 -0.775269 0.000249587 0.631137 -0.0249998 1.02464 0.11628 3.86084 3 00000000.png

4 -0.774679 0.00135973 0.631819 -0.0259704 1.04641 0.129658 3.84708 4 00000000.png

5 -0.774088 0.00246987 0.6325 -0.0269408 1.06823 0.142959 3.83338 5 00000000.png

6 -0.773494 0.00358 0.633179 -0.0279111 1.09011 0.156182 3.81972 6 00000000.png

7 -0.772898 0.00469012 0.633856 -0.0288814 1.11203 0.169328 3.80612 7 00000000.png

8 -0.772299 0.00580023 0.634531 -0.0298516 1.13401 0.182396 3.79256 8 00000000.png

9 -0.771698 0.00691032 0.635204 -0.0308217 1.15604 0.195389 3.77906 9 00000000.png

10 -0.771095 0.00802039 0.635875 -0.0317917 1.17812 0.208305 3.76561 10 00000000.png

11 -0.77049 0.00913044 0.636545 -0.0327616 1.20026 0.221145 3.75221 11 00000000.png

12 -0.769882 0.0102405 0.637212 -0.0337314 1.22244 0.233909 3.73887 12 00000000.png

13 -0.769272 0.0113504 0.637878 -0.0347011 1.24467 0.246598 3.72557 13 00000000.png

14 -0.768659 0.0124604 0.638541 -0.0356707 1.26696 0.259212 3.71234 14 00000000.png

15 -0.768045 0.0135703 0.639203 -0.0366402 1.28929 0.271752 3.69915 15 00000000.png

16 -0.767428 0.0146802 0.639863 -0.0376096 1.31167 0.284217 3.68603 16 00000000.png

17 -0.766808 0.01579 0.640521 -0.0385789 1.33411 0.296607 3.67295 17 00000000.png

18 -0.766187 0.0168998 0.641177 -0.0395481 1.35659 0.308924 3.65994 18 00000000.png

19 -0.765563 0.0180095 0.641831 -0.0405171 1.37912 0.321168 3.64698 19 00000000.png

20 -0.764937 0.0191192 0.642483 -0.041486 1.4017 0.333338 3.63407 20 00000000.png

21 -0.764308 0.0202288 0.643134 -0.0424548 1.42433 0.345436 3.62123 21 00000000.png

22 -0.763678 0.0213384 0.643782 -0.0434235 1.44701 0.357461 3.60844 22 00000000.png

23 -0.763045 0.0224479 0.644428 -0.044392 1.46974 0.369414 3.59571 23 00000000.png

24 -0.76241 0.0235573 0.645073 -0.0453605 1.49252 0.381295 3.58304 24 00000000.png

25 -0.761132 0.0257759 0.646356 -0.0472968 1.53821 0.404842 3.55787 25 00000000.png

26 -0.757835 0.0244288 0.650319 -0.0466235 1.53302 0.393058 3.5726 26 00000000.png

27 -0.754517 0.023081 0.654263 -0.0459488 1.52772 0.381265 3.58755 27 00000000.png

28 -0.751176 0.0217325 0.658189 -0.0452728 1.5223 0.369463 3.60273 28 00000000.png

29 -0.747814 0.0203833 0.662095 -0.0445955 1.51675 0.357649 3.61813 29 00000000.png

30 -0.74443 0.0190336 0.665982 -0.0439169 1.51108 0.345823 3.63375 30 00000000.png

31 -0.741025 0.0176833 0.669851 -0.043237 1.50527 0.333983 3.6496 31 00000000.png

32 -0.737598 0.0163326 0.673699 -0.0425559 1.49932 0.322125 3.66566 32 00000000.png

33 -0.734151 0.0149813 0.677529 -0.0418735 1.49322 0.310249 3.68194 33 00000000.png

34 -0.730682 0.0136296 0.681338 -0.04119 1.48697 0.298353 3.69844 34 00000000.png

35 -0.727191 0.0122775 0.685129 -0.0405052 1.48056 0.286435 3.71515 35 00000000.png

36 -0.72368 0.0109251 0.688899 -0.0398193 1.47399 0.274493 3.73208 36 00000000.png

37 -0.720148 0.00957234 0.692649 -0.0391323 1.46725 0.262525 3.74922 37 00000000.png

38 -0.716596 0.00821931 0.69638 -0.0384441 1.46034 0.250529 3.76657 38 00000000.png

39 -0.713022 0.00686604 0.70009 -0.0377548 1.45325 0.238504 3.78413 39 00000000.png

40 -0.709428 0.00551258 0.703781 -0.0370644 1.44598 0.226447 3.8019 40 00000000.png

41 -0.705814 0.00415896 0.707451 -0.0363729 1.43851 0.214357 3.81987 41 00000000.png

42 -0.702179 0.00280522 0.7111 -0.0356804 1.43086 0.202231 3.83804 42 00000000.png

43 -0.698524 0.00145139 0.714729 -0.0349869 1.423 0.190068 3.85642 43 00000000.png

44 -0.694849 9.7529e-05 0.718338 -0.0342923 1.41493 0.177866 3.87498 44 00000000.png

45 -0.691154 -0.00125634 0.721925 -0.0335968 1.40666 0.165623 3.89375 45 00000000.png

46 -0.687438 -0.00261017 0.725492 -0.0329003 1.39817 0.153338 3.91271 46 00000000.png

47 -0.683704 -0.00396393 0.729038 -0.0322028 1.38946 0.141007 3.93185 47 00000000.png

48 -0.679949 -0.00531757 0.732563 -0.0315044 1.38052 0.12863 3.95119 48 00000000.png

49 -0.676174 -0.00667106 0.736067 -0.0308052 1.37135 0.116204 3.9707 49 00000000.png

50 -0.672381 -0.00802435 0.73955 -0.030105 1.36195 0.103728 3.9904 50 00000000.png

51 -0.668567 -0.00937742 0.743011 -0.0294039 1.3523 0.0911989 4.01028 51 00000000.png

52 -0.664735 -0.0107302 0.746451 -0.028702 1.34241 0.0786159 4.03033 52 00000000.png

53 -0.660883 -0.0120827 0.749869 -0.0279993 1.33226 0.0659765 4.05055 53 00000000.png

54 0.653123 0.0147866 -0.756641 0.0265915 1.31121 0.0405217 4.09149 54 00000000.png

55 0.64797 0.0144753 -0.761067 0.0264883 1.29473 0.0389876 4.10099 55 00000000.png

56 0.642788 0.0141633 -0.765459 0.0263839 1.27824 0.0374427 4.1108 56 00000000.png

57 0.637576 0.0138507 -0.769815 0.0262783 1.26171 0.0358868 4.12092 57 00000000.png

58 0.632334 0.0135375 -0.774135 0.0261714 1.24513 0.0343199 4.13136 58 00000000.png

59 0.627063 0.0132236 -0.77842 0.0260634 1.22849 0.0327418 4.1421 59 00000000.png

60 0.621763 0.0129091 -0.782669 0.0259541 1.21179 0.0311523 4.15315 60 00000000.png

61 0.616435 0.012594 -0.786881 0.0258437 1.195 0.0295515 4.16452 61 00000000.png

62 0.611077 0.0122783 -0.791057 0.025732 1.17811 0.0279391 4.1762 62 00000000.png

63 0.605692 0.0119621 -0.795197 0.0256192 1.16113 0.026315 4.18818 63 00000000.png

64 0.600279 0.0116453 -0.799299 0.0255052 1.14402 0.0246792 4.20048 64 00000000.png

65 0.594837 0.0113279 -0.803365 0.02539 1.12679 0.0230316 4.21309 65 00000000.png

66 0.589369 0.0110101 -0.807394 0.0252736 1.10942 0.0213722 4.226 66 00000000.png

67 0.583873 0.0106917 -0.811385 0.0251561 1.0919 0.0197008 4.23922 67 00000000.png

68 0.57835 0.0103728 -0.815339 0.0250373 1.07421 0.0180173 4.25275 68 00000000.png

69 0.5728 0.0100535 -0.819255 0.0249175 1.05635 0.0163219 4.26658 69 00000000.png

70 0.567224 0.00973369 -0.823133 0.0247965 1.03831 0.0146142 4.28071 70 00000000.png

71 0.561621 0.00941343 -0.826973 0.0246743 1.02006 0.0128946 4.29513 71 00000000.png

72 0.555993 0.00909274 -0.830775 0.024551 1.00161 0.0111628 4.30985 72 00000000.png

73 0.550339 0.00877163 -0.834538 0.0244265 0.982939 0.00941879 4.32486 73 00000000.png

74 0.544659 0.00845011 -0.838263 0.024301 0.964035 0.00766271 4.34016 74 00000000.png

75 0.538954 0.0081282 -0.841949 0.0241743 0.944889 0.00589448 4.35574 75 00000000.png

76 0.533224 0.00780591 -0.845596 0.0240465 0.925489 0.00411413 4.3716 76 00000000.png

77 0.52747 0.00748327 -0.849204 0.0239175 0.905824 0.00232173 4.38774 77 00000000.png

78 0.521691 0.00716027 -0.852773 0.0237875 0.885882 0.000517256 4.40416 78 00000000.png

79 0.515888 0.00683695 -0.856302 0.0236564 0.865652 -0.00129925 4.42083 79 00000000.png

80 0.510062 0.00651331 -0.859792 0.0235241 0.845125 -0.00312767 4.43778 80 00000000.png

81 0.504211 0.00618937 -0.863241 0.0233908 0.824288 -0.00496799 4.45497 81 00000000.png

82 0.498337 0.00586514 -0.866651 0.0232564 0.803132 -0.00682015 4.47243 82 00000000.png

83 0.486521 0.00521587 -0.873351 0.0229845 0.759815 -0.010559 4.50806 83 00000000.png

84 0.479605 0.0045786 -0.877127 0.0246342 0.733079 0.00616206 4.50547 84 00000000.png

85 0.472657 0.00394102 -0.880846 0.0262824 0.706591 0.0228437 4.50311 85 00000000.png

86 0.465678 0.00330317 -0.884507 0.0279289 0.680332 0.0394888 4.50098 86 00000000.png

87 0.458669 0.00266512 -0.888111 0.0295736 0.654293 0.0561007 4.49909 87 00000000.png

88 0.45163 0.00202689 -0.891657 0.0312164 0.628456 0.0726829 4.49745 88 00000000.png

89 0.444561 0.00138853 -0.895145 0.0328571 0.602807 0.0892388 4.49605 89 00000000.png

90 0.437464 0.000750072 -0.898574 0.0344957 0.577328 0.105772 4.49492 90 00000000.png

91 0.430338 0.00011157 -0.901945 0.036132 0.552008 0.122285 4.49405 91 00000000.png

92 0.423183 -0.000526939 -0.905257 0.0377659 0.526827 0.138783 4.49344 92 00000000.png

93 0.416002 -0.00116541 -0.908509 0.0393974 0.501773 0.155268 4.49311 93 00000000.png

94 0.408793 -0.00180381 -0.911703 0.0410264 0.476827 0.171743 4.49305 94 00000000.png

95 0.401557 -0.00244209 -0.914837 0.0426526 0.451977 0.188213 4.49327 95 00000000.png

96 0.394296 -0.00308022 -0.917911 0.0442761 0.427204 0.204681 4.49377 96 00000000.png

97 0.387008 -0.00371814 -0.920926 0.0458967 0.402493 0.22115 4.49456 97 00000000.png

98 0.379695 -0.00435582 -0.92388 0.0475143 0.377827 0.237623 4.49563 98 00000000.png

99 0.372358 -0.00499321 -0.926775 0.0491288 0.353192 0.254104 4.49699 99 00000000.png

100 0.364996 -0.00563028 -0.929608 0.05074 0.32857 0.270597 4.49864 100 00000000.png

101 0.357611 -0.00626698 -0.932381 0.052348 0.303946 0.287104 4.50058 101 00000000.png

102 0.350202 -0.00690327 -0.935094 0.0539526 0.279303 0.303629 4.5028 102 00000000.png

103 0.34277 -0.00753912 -0.937745 0.0555536 0.254625 0.320175 4.50532 103 00000000.png

104 0.335316 -0.00817447 -0.940335 0.057151 0.229896 0.336746 4.50813 104 00000000.png

105 0.32784 -0.00880929 -0.942864 0.0587447 0.2051 0.353345 4.51122 105 00000000.png

106 0.320343 -0.00944353 -0.945331 0.0603346 0.18022 0.369975 4.5146 106 00000000.png

107 0.312825 -0.0100772 -0.947737 0.0619205 0.155241 0.38664 4.51827 107 00000000.png

108 0.305286 -0.0107101 -0.950081 0.0635024 0.130146 0.403341 4.52221 108 00000000.png

109 0.297727 -0.0113424 -0.952362 0.0650801 0.104918 0.420084 4.52644 109 00000000.png

110 0.290149 -0.0119739 -0.954582 0.0666536 0.0795441 0.436871 4.53094 110 00000000.png

111 0.282553 -0.0126047 -0.95674 0.0682228 0.0540067 0.453704 4.53571 111 00000000.png

112 0.267304 -0.0138637 -0.960867 0.0713476 0.00237593 0.487524 4.54604 112 00000000.png

113 0.26454 -0.0136574 -0.961684 0.0706809 0.00218511 0.479848 4.54205 113 00000000.png

114 0.261774 -0.0134509 -0.962492 0.0700136 0.00204792 0.472195 4.53819 114 00000000.png

115 0.259005 -0.0132444 -0.963292 0.0693457 0.00196201 0.464566 4.53447 115 00000000.png

116 0.256234 -0.0130377 -0.964084 0.0686771 0.00192564 0.456961 4.53089 116 00000000.png

